Date,Sales,Expenses,Other Income,Depreciation,Interest,Profit before tax,Tax,Net profit,Operating Profit,EBITDA,EBIT,Comp_Name
2022-06-30,1196.81,871.14,2.2,44.16,1.3,282.41,72.74,209.67,325.67,327.87,283.71000000000004,Colgate-Palmoliv
2022-06-30,688.22,534.86,43.48,86.13,1.86,108.85,12.33,96.52,153.36,196.83999999999997,110.71,Emami
2022-06-30,776.38,709.29,5.63,14.18,0.84,57.7,15.15,42.55,67.09,72.72,58.540000000000006,P & G Hygiene
2022-06-30,2436.65,2171.6,10.36,57.53,0.83,217.05,55.37,161.68,265.05,275.41,217.88000000000002,United Breweries
2022-06-30,2179.73,1752.0,84.2,43.96,7.04,460.93,110.85,350.08,427.73,511.93,467.97,Dabur India
2022-06-30,2076.88,1770.05,42.8,35.09,7.14,307.4,74.57,232.83,306.83,349.63,314.53999999999996,Tata Consumer
2022-06-30,1849.41,1434.78,21.29,25.81,0.51,409.6,90.07,319.53,414.63,435.92,410.11,Godrej Consumer
2022-06-30,757.43,664.91,4.37,16.73,2.97,77.19,18.9,58.29,92.52,96.89,80.16,Radico Khaitan
2022-06-30,14272.0,11025.0,125.0,260.0,26.0,3086.0,797.0,2289.0,3247.0,3372.0,3112.0,Hind. Unilever
2022-06-30,1976.0,1594.0,132.0,25.0,8.0,481.0,94.0,387.0,382.0,514.0,489.0,Marico
2022-09-30,14751.0,11374.0,87.0,248.0,25.0,3191.0,575.0,2616.0,3377.0,3464.0,3216.0,Hind. Unilever
2022-09-30,1387.48,979.49,11.28,43.86,1.27,374.14,96.12,278.02,407.99,419.27,375.40999999999997,Colgate-Palmoliv
2022-09-30,2266.88,1794.37,107.57,46.52,7.92,525.64,129.83,395.81,472.51,580.0799999999999,533.56,Dabur India
2022-09-30,16129.91,10265.58,506.9,422.02,10.67,5938.54,1472.48,4466.06,5864.33,6371.23,5949.21,ITC
2022-09-30,1985.03,1557.04,9.0,21.68,0.79,414.52,86.33,328.19,427.99,436.99,415.31,Godrej Consumer
2022-09-30,4191.03,3503.64,65.82,44.08,51.09,658.04,165.49,492.55,687.39,753.21,709.13,Britannia Inds
2022-09-30,685.11,501.87,7.48,43.16,0.94,146.62,2.9,143.72,183.24,190.72,147.56,Emami
2022-09-30,1909.0,1601.0,131.0,25.0,10.0,404.0,70.0,334.0,308.0,439.0,414.0,Marico
2022-09-30,761.39,671.31,0.94,17.19,4.05,69.78,17.96,51.83,90.08,91.02,73.83,Radico Khaitan
2022-09-30,2501.65,2001.03,25.83,110.99,32.34,383.12,95.46,287.66,500.62,526.45,415.46000000000004,Varun Beverages
2022-09-30,2130.78,1794.74,17.14,36.19,7.3,309.69,80.17,229.52,336.04,353.18,316.99,Tata Consumer
2022-09-30,1679.55,1460.44,14.31,51.98,0.99,180.45,46.26,134.19,219.11,233.42,181.44,United Breweries
2022-09-30,4601.84,3597.76,30.64,98.17,37.19,899.36,237.9,661.46,1004.08,1034.72,936.55,Nestle India
2022-09-30,1044.89,830.91,6.73,13.96,0.95,205.8,51.39,154.41,213.98,220.71,206.75,P & G Hygiene
2022-09-30,2904.2,2461.8,380.1,64.5,21.0,737.0,194.7,542.3,442.4,822.5,758.0,United Spirits
2022-12-31,1891.0,1551.0,35.0,28.0,9.0,338.0,84.0,254.0,340.0,375.0,347.0,Marico
2022-12-31,792.15,695.28,2.72,17.06,6.09,76.44,19.39,57.05,96.87,99.59,82.53,Radico Khaitan
2022-12-31,835.55,562.96,8.21,42.61,0.61,237.58,12.96,224.62,272.59,280.8,238.19000000000003,Emami
2022-12-31,1611.04,1534.39,-20.15,50.16,1.6,4.74,6.88,-2.14,76.65,56.5,6.34,United Breweries
2022-12-31,15228.0,11691.0,126.0,260.0,26.0,3377.0,872.0,2505.0,3537.0,3663.0,3403.0,Hind. Unilever
2022-12-31,1137.39,846.9,9.31,14.41,3.86,281.53,74.06,207.47,290.49,299.8,285.39,P & G Hygiene
2022-12-31,2298.26,1801.45,85.64,47.6,12.69,522.16,127.82,394.34,496.81,582.45,534.85,Dabur India
2022-12-31,2153.31,1825.22,35.42,36.55,7.33,319.63,82.37,237.26,328.09,363.51,326.96,Tata Consumer
2022-12-31,2781.1,2413.3,-127.9,63.6,24.3,152.0,41.5,110.5,367.8,239.9,176.3,United Spirits
2022-12-31,1291.27,929.82,10.41,43.67,1.26,326.93,83.69,243.24,361.45,371.86,328.19,Colgate-Palmoliv
2022-12-31,16225.73,10002.51,871.72,407.24,10.18,6677.52,1646.51,5031.01,6223.22,7094.9400000000005,6687.700000000001,ITC
2022-12-31,4256.79,3283.78,29.55,98.66,44.83,859.07,231.01,628.06,973.01,1002.5600000000001,903.9000000000001,Nestle India
2022-12-31,1543.98,1368.32,73.62,146.51,43.4,59.37,0.52,58.85,175.66,249.27999999999997,102.77,Varun Beverages
